date,content,region,importance,Epidemic_Policy,Economic_Policy,weight,type1,type2,comment,global
2020-03-30,德国因疫情影响要求企业暂停派发股息,德国,3,0,1,0.5,经济,停发股息,,0
2020-03-06,莫斯科市6日为防范新冠肺炎提高戒备状态,俄罗斯,1,1,0,0.2,隔离,政府应急响应,,0
2020-03-25,普京推迟原定于4月22日的宪法修正案公民投票,俄罗斯,3,1,0,0.5,隔离,公共场所限制,,0
2020-03-07,法国总理7日宣布，关闭瓦兹河谷省和上莱茵省所有学校,法国,2,1,0,0.3,隔离,公共场所限制,,0
2020-03-14,法国宣布进入防疫工作最高阶段 关闭所有“非必需”公共场所,法国,3,1,0,0.5,隔离,公共场所限制,,0
2020-03-17,"法国全境将进行""封国",法国,3,1,0,0.5,隔离,边境限制,,0
2020-03-20,法国部分城市宣布宵禁,法国,1,1,0,0.2,隔离,公共场所限制,,0
2020-03-26,法国因新冠肺炎疫情从伊拉克撤军,法国,3,1,0,0.5,隔离,军事计划暂停或撤离,,0
2020-03-27,法国延长限制出行措施到4月15日,法国,3,1,0,0.5,隔离,出行限制,,0
2020-03-12,菲律宾总统府将于12日关闭 多名官员宣布进行自我隔离,菲律宾,1,1,0,0.2,隔离,政府应急响应,,0
2020-03-12,菲律宾马尼拉市宣布“封城”30天,菲律宾,1,1,0,0.2,隔离,边境限制,,0
2020-03-17,菲律宾央行行长：菲律宾央行可能在3月19日降息50个基点，央行有许多货币政策空间,菲律宾,3,0,1,0.5,经济,降准降息,,0
2020-01-30,1月30日起，韩国要求入境的中国公民填写健康状况申报表,韩国,3,1,0,0.5,隔离,边境限制,,0
2020-02-04,韩国自2月4日起禁止所有持湖北省签发护照的中国公民、14天内访问过湖北省的外国人入境，并且暂停济州岛免签、暂停中国公民过境免签政策,韩国,3,1,0,0.5,隔离,边境限制,,0
2020-02-23,韩国将疫情预警上调至最高级别,韩国,3,1,0,0.5,隔离,政府应急响应,,0
2020-02-24,韩国发布新冠肺炎疫情最高级别“严重”预警，全国所有学校推迟开学,韩国,3,1,0,0.5,隔离,公共场所限制,,0
2020-02-25,韩国将对大邱市和庆尚北道采取“最大限度的封锁措施”?,韩国,1,1,0,0.2,隔离,边境限制,,0
2020-03-03,文在寅宣布对新冠病毒“作战”，韩国政府进入24小时全面戒备状态,韩国,3,1,0,0.5,隔离,政府应急响应,,0
2020-03-08,韩国累计确诊7134例 大邱市政府首次决定封楼隔离,韩国,1,1,0,0.2,隔离,公共场所限制,,0
2020-03-13,韩国3月13日宣布，从下周一开始（16日），将临时禁止股票卖空交易6个月,韩国,3,0,1,0.5,经济,禁止做空,,0
2020-03-15,文在寅宣布大邱、庆尚北道为特别灾区,韩国,1,1,0,0.2,隔离,政府应急响应,,0
2020-03-16,韩国央行降息50个基点至0.75%,韩国,3,0,1,0.5,经济,降准降息,,0
2020-03-17,韩国19日起对所有旅客实施入境管制,韩国,3,1,0,0.5,隔离,边境限制,,0
2020-03-17,韩国学校推迟至4月6日开学 已有300多名学生确诊,韩国,3,1,0,0.5,隔离,公共场所限制,,0
2020-03-17,韩国央行将目前的基准利率1.25%下调0.5个百分点至0.75%,韩国,3,0,1,0.5,经济,降准降息,,0
2020-03-18,韩国国会通过抗疫补充预算案 总额逾660亿人民币,韩国,3,0,1,0.5,经济,财政刺激政策,,0
2020-03-19,韩国总统文在寅宣布措施应对疫情带来的经济冲击，将推出50万亿韩元规模经济措施,韩国,3,0,1,0.5,经济,财政刺激政策,,0
2020-03-23,韩国央行将在周二进行额外的回购操作，以向经纪公司提供流动性,韩国,3,0,1,0.5,经济,公开市场操作,,0
2020-03-25,韩国27日起对自美入境者采取隔离措施,韩国,3,1,0,0.5,隔离,边境限制,,0
2020-03-25,韩国将放宽外汇审慎规则 以支持美元融资,韩国,3,0,1,0.5,经济,外汇便利,,0
2020-03-29,韩国：4月1日起入境韩国者必须接受隔离两周,韩国,3,1,0,0.5,隔离,边境限制,,0
2020-03-29,韩国央行将利用与美联储的货币互换协议，将通过在3月31日的投标，向银行业提供120亿美元的资金,韩国,3,0,1,0.5,经济,外汇便利,,0
2020-03-30,文在寅宣布向韩国七成家庭发钱：四口之家给100万韩元,韩国,3,0,1,0.5,经济,社会福利与补贴,,0
2020-03-04,加拿大央行下调基准利率50个基点至1.25%,加拿大,3,0,1,0.5,经济,降准降息,,0
2020-03-13,加拿大央行再度宣布紧急降息，将关键隔夜利率降低50个基点至0.75%,加拿大,3,0,1,0.5,经济,降准降息,,0
2020-03-14,2020年男子冰壶世锦赛、混双冰壶世锦赛和冰壶元老世锦赛取消,加拿大,3,1,0,0.5,隔离,体育赛事取消或延期,,0
2020-03-17,加拿大：禁止非本国公民和永久居民入境,加拿大,3,1,0,0.5,隔离,边境限制,,0
2020-03-19,加拿大总理特鲁多宣布相当于该国经济总量3%的刺激措施,加拿大,3,0,1,0.5,经济,财政刺激政策,,0
2020-03-20,加拿大宣布关闭加美边界,加拿大,3,1,0,0.5,隔离,边境限制,,0
2020-03-27,加拿大央行紧急降息，将隔夜利率调降至0.25%,加拿大,3,0,1,0.5,经济,降准降息,,0
2020-03-28,加拿大政府推出大幅增加薪资补贴计划,加拿大,3,0,1,0.5,经济,社会福利与补贴,,0
2020-03-23,加拿大、澳大利亚宣布退出今夏奥运会,加拿大,3,1,0,0.5,隔离,体育赛事取消或延期,,0
2020-02-27,马来西亚推经济刺激举措应对新冠肺炎疫情影响,马来西亚,3,0,1,0.5,经济,财政刺激政策,,0
2020-03-16,马来西亚为遏止疫情扩散，宣布由3月18日至31日全国封城两周，拒绝所有外国旅客入境，亦禁止国民出境,马来西亚,3,1,0,0.5,隔离,边境限制,,0
2020-03-19,马来西亚央行：将法定储备金率从3%下调至2%,马来西亚,3,0,1,0.5,经济,降准降息,,0
2020-03-25,马来西亚据悉考虑通过债务措施、并购来救助航空业,马来西亚,3,0,1,0.5,经济,发债,,0
2020-01-17,美国疾病控制与预防中心宣布17日起，将对从中国武汉前往美国的旅客进行入境检查,美国,3,1,0,0.5,隔离,边境限制,,0
2020-01-21,美国CDC将其针对中国武汉的旅行安全警示通知从1级提高到2级,美国,3,1,0,0.5,隔离,出行限制,,0
2020-01-30,白宫成立应对肺炎特别小组,美国,3,1,0,0.5,隔离,政府应急响应,,0
2020-01-31,美国政府宣布新型冠状病毒疫情构成国家公共卫生紧急状态，并宣布一系列临时措施，包括对从中国返美的美国公民实行隔离、并禁止过去14天内曾前往中国的外国公民入境美国,美国,3,1,0,0.5,隔离,政府应急响应,,0
2020-02-02,美国将赴华旅行风险级别提升到最高级,美国,3,1,0,0.5,隔离,出行限制,,0
2020-02-16,美国疾控中心计划将新冠病毒纳入流感检测系统,美国,3,1,0,0.5,隔离,病毒检测,,0
2020-02-25,美国将韩国旅行警告提升到最高级第三级,美国,3,1,0,0.5,隔离,出行限制,,0
2020-02-25,美国白宫向国会申请约18亿美元应对新冠肺炎疫情,美国,3,0,1,0.5,经济,财政刺激政策,,0
2020-02-26,美国确诊病例增至57例 旧金山宣布进入紧急状态,美国,1,1,0,0.2,隔离,政府应急响应,,0
2020-02-27,纽约州拨款4000万美元用于应对潜在疫情,美国,2,0,1,0.3,经济,财政刺激政策,,0
2020-03-03,美联储突然下调基准利率50基点至1%-1.25%水平，同时下调超额准备金利率50个基点至1.1%水平,美国,3,0,1,0.5,经济,降准降息,,0
2020-03-04,美国副总统彭斯：取消新冠病毒检测限制，任何美国人都可检测,美国,3,1,0,0.5,隔离,病毒检测,,0
2020-03-05,美国加州宣布该州进入紧急状态,美国,2,1,0,0.3,隔离,政府应急响应,,0
2020-03-07,纽约州长科莫宣布全州进入紧急状态,美国,2,1,0,0.3,隔离,政府应急响应,,0
2020-03-11,特朗普：准备动用联邦政府全部权力应对新冠疫情,美国,3,1,0,0.5,隔离,政府应急响应,,0
2020-03-12,美国国务院就新冠疫情发布全球三级健康警示,美国,3,1,0,0.5,隔离,政府应急响应,,0
2020-03-12,特朗普：将在未来30天内暂停从欧洲到美国的所有旅行,美国,3,1,0,0.5,隔离,出行限制,,0
2020-03-14,特朗普宣布美国进入“国家紧急状态”,美国,3,1,0,0.5,隔离,政府应急响应,,0
2020-03-15,美联储宣布将联邦基金利率目标区间下调至零至0.25%的超低水平,美国,3,0,1,0.5,经济,降准降息,,0
2020-03-15,白宫：特朗普新冠病毒检测结果为阴性 无任何症状,美国,3,1,0,0.5,隔离,总统病毒检测,,0
2020-03-16,美国新冠病毒疫苗临床试验16日开始,美国,3,1,0,0.5,隔离,疫苗研制,,0
2020-03-18,美FDA出台新冠病毒检测产品紧急注册上市指导政策,美国,3,1,0,0.5,隔离,病毒检测,,0
2020-03-19,特朗普签署第二份疫情纾困法案，正在计划更多刺激措施,美国,3,0,1,0.5,经济,财政刺激政策,,0
2020-03-20,美国纽约州州长科莫宣布，非基本的所有商业活动要100%居家完成,美国,3,1,0,0.5,隔离,公共场所限制,,0
2020-03-20,美国总统特朗普正式宣布关闭美墨边境,美国,3,1,0,0.5,隔离,边境限制,,0
2020-03-20,美联储周五表示，将把其资产购买计划扩展至短期市政债券,美国,3,0,1,0.5,经济,公开市场操作,,0
2020-03-21,由于新冠肺炎病毒，美银美林允许客户申请延迟偿还抵押贷款、小型企业贷款以及汽车贷款,美国,3,0,1,0.5,经济,社会福利与补贴,,0
2020-03-21,美国政府考虑通过提供援助来入股一些企业,美国,3,0,1,0.5,经济,社会福利与补贴,,0
2020-03-21,美国总统特朗普批准纽约宣布进入灾难状态,美国,1,1,0,0.2,隔离,政府应急响应,,0
2020-03-23,特朗普再宣布美国加州为新冠疫情“重大灾区”，将提供援助,美国,2,1,0,0.3,隔离,政府应急响应,,0
2020-03-23,美联储紧急救市，开启无限资产购买计划,美国,3,0,1,0.5,经济,公开市场操作,,0
2020-03-25,驻韩美军宣布公共卫生紧急状态,美国,3,1,0,0.5,隔离,军事计划暂停或撤离,,0
2020-03-25,佛州州长要纽约来客自我隔离，系全美首个针对境内旅客隔离令,美国,2,1,0,0.3,隔离,边境限制,,0
2020-03-26,美国国防部：暂停驻外美军一切旅行和行动计划,美国,3,1,0,0.5,隔离,军事计划暂停或撤离,,0
2020-03-26,美国参议院投票通过2万亿美元新冠病毒救助计划,美国,3,0,1,0.5,经济,财政刺激政策,,0
2020-03-26,美司法部：新冠病毒视为“生物武器”，故意传播可被控恐怖主义罪,美国,3,1,0,0.5,隔离,政府应急响应,,0
2020-03-27,纽约州学校将继续关闭至4月15日,美国,2,1,0,0.3,隔离,公共场所限制,,0
2020-03-28,特朗普宣布南卡罗来纳州进入“重大灾难状态”,美国,2,1,0,0.3,隔离,政府应急响应,,0
2020-03-28,美国纽约第一个临时医院完成 将可容纳1000个床位,美国,1,1,0,0.2,隔离,医院扩建,,0
2020-03-28,世界田联主席透露田径世锦赛或延期至2022年,美国,3,1,0,0.5,隔离,体育赛事取消或延期,,0
2020-03-28,美国总统特朗普签署《国防生产法案》行政令,美国,3,1,0,0.5,隔离,政府应急响应,,0
2020-03-30,纽约联储购买60亿美元的含息国库券,美国,2,0,1,0.3,经济,公开市场操作,,0
2020-03-30,总统特朗普批准堪萨斯州、阿拉巴马州进入灾难状态,美国,2,1,0,0.3,隔离,政府应急响应,,0
2020-03-13,挪威央行周五意外宣布将基准利率从1.5%下调至1%,挪威,3,0,1,0.5,经济,降准降息,,0
2020-02-25,日本公布《新型冠状病毒传染病对策基本方针》，作为日本今后一段时间防控工作的指导文件,日本,3,1,0,0.5,隔离,政府应急响应,,0
2020-02-27,日本政府要求体育团体和文化团体停办活动和公演直至3月15日左右,日本,3,1,0,0.5,隔离,体育赛事取消或延期,,0
2020-02-27,安倍宣布日本所有小学、初中和高中将停课,日本,3,1,0,0.5,隔离,公共场所限制,,0
2020-02-28,日本北海道宣布进入紧急状态,日本,2,1,0,0.3,隔离,政府应急响应,,0
2020-03-03,日本奥运大臣：东京奥运会被允许推迟至年底举行,日本,3,1,0,0.5,隔离,体育赛事取消或延期,,0
2020-03-12,东京奥运会圣火采集仪式将照常在奥林匹亚古镇举办，但禁止观众入场,日本,3,1,0,0.5,隔离,体育赛事取消或延期,,0
2020-03-16,日本央行决定采取进一步宽松行动,日本,3,0,1,0.5,经济,货币政策宽松,,0
2020-03-17,东京奥组委多名理事同意奥运会推迟至2022年,日本,3,1,0,0.5,隔离,体育赛事取消或延期,,0
2020-03-19,日本央行表示，将在计划外操作中放款2万亿日元，用于购买证券等,日本,3,0,1,0.5,经济,公开市场操作,,0
2020-03-23,日本要求所有来自美国的旅客隔离14日,日本,3,1,0,0.5,隔离,出行限制,,0
2020-03-23,日本：将通知国际奥委会“同意东京奥运会延期”,日本,3,1,0,0.5,隔离,体育赛事取消或延期,,0
2020-03-24,国际奥委会委员宣布2020年东京奥运会将会延期举行,日本,3,1,0,0.5,隔离,体育赛事取消或延期,,0
2020-03-25,日本首次发布全球范围旅行警告,日本,3,1,0,0.5,隔离,出行限制,,0
2020-03-25,日本考虑在收入下滑地区派发20-30万日元现金,日本,3,0,1,0.5,经济,社会福利与补贴,,0
2020-03-28,日本首相安倍晋三将下令增加刺激力度以及追加补充性预算,日本,3,0,1,0.5,经济,财政刺激政策,,0
2020-03-30,日本将禁止美国和欧洲大部分国家公民入境,日本,3,1,0,0.5,隔离,边境限制,,0
2020-03-11,泰国取消20多个国家和地区落地签及免签待遇,泰国,3,1,0,0.5,隔离,边境限制,,0
2020-03-16,泰国东北部地区武里南府府尹宣布,泰国,2,1,0,0.3,隔离,政府应急响应,,0
2020-03-24,泰国总理巴育宣布 26日起全国进入紧急状态,泰国,3,1,0,0.5,隔离,政府应急响应,,0
2020-03-25,泰国将从3月26日起宣布紧急状态，将关闭一些边界，入境受到限制,泰国,3,1,0,0.5,隔离,边境限制,,0
2020-03-13,西班牙首相宣布西班牙进入紧急状态,西班牙,3,1,0,0.5,隔离,政府应急响应,,0
2020-03-17,西班牙正式宣布封锁陆地边境,西班牙,3,1,0,0.5,隔离,边境限制,,0
2020-01-04,香港特区政府启动“严重”应变级别,香港,3,1,0,0.5,隔离,政府应急响应,,0
2020-01-08,香港将武汉不明原因肺炎纳入法定监管传染病,香港,3,1,0,0.5,隔离,政府应急响应,,0
2020-01-25,香港对新型冠状病毒感染疫情的应变级别由“严重”提升为最高的“紧急”，并将采取一系列措施加强疫情防控,香港,3,1,0,0.5,隔离,政府应急响应,,0
2020-02-25,香港教育局：全港学校拟推迟至4月20日复课,香港,3,1,0,0.5,隔离,公共场所限制,,0
2020-03-23,香港今日重新关闭公共设施 加大防控力度应对海外疫情输入风险,香港,3,1,0,0.5,隔离,公共场所限制,,0
2020-03-23,25日起非香港居民乘飞机抵港将不准入境,香港,3,1,0,0.5,隔离,边境限制,,0
2020-03-25,香港特区立法会通过约2159亿港元临时拨款议案,香港,3,0,1,0.5,经济,财政刺激政策,,0
2020-03-27,香港特区政府规定关闭6类场所 为期14天,香港,3,1,0,0.5,隔离,公共场所限制,,0
2020-02-28,新加坡为抗疫前线人员加薪1个月，同时政府官员减薪1个月新加坡为抗疫前线人员加薪1个月，同时政府官员减薪1个月,新加坡,3,0,1,0.5,经济,社会福利与补贴,,0
2020-03-22,新加坡禁止所有外国人入境或过境,新加坡,3,1,0,0.5,隔离,边境限制,,0
2020-03-25,新西兰民防部宣布新西兰进入国家紧急状态,新西兰,3,1,0,0.5,隔离,政府应急响应,,0
2020-02-23,以色列禁止所有来自日本和韩国航班入境,以色列,3,1,0,0.5,隔离,边境限制,,0
2020-03-15,以色列总理内塔尼亚胡接受新冠肺炎病毒检测,以色列,3,1,0,0.5,隔离,总统病毒检测,,0
2020-03-19,以色列禁止所有外国人入境 边境及过境口岸关闭,以色列,3,1,0,0.5,隔离,边境限制,,0
2020-02-23,意大利对11个市镇实行封锁，取消三场意甲联赛,意大利,1,1,0,0.2,隔离,边境限制,,0
2020-02-25,世卫组织和欧洲疾控中心派出联合专家组赴意大利协助开展新冠肺炎防控工作,意大利,3,1,0,0.5,隔离,政府应急响应,,0
2020-03-04,意大利政府决定关闭全国各级学校和大学,意大利,3,1,0,0.5,隔离,公共场所限制,,0
2020-03-08,意大利总理孔特8日宣布，对该国大约四分之一的人口实施管控措施，限制人员流动，以控制疫情扩大,意大利,3,1,0,0.5,隔离,出行限制,,0
2020-03-10,意大利封闭全国监狱,意大利,3,1,0,0.5,隔离,公共场所限制,,0
2020-03-10,意大利奥委会官网宣布受新冠肺炎疫情影响将暂停国内体育赛事至4月3日,意大利,3,1,0,0.5,隔离,体育赛事取消或延期,,0
2020-03-11,意大利宣布关闭除食品店和药店以外所有商铺,意大利,3,1,0,0.5,隔离,公共场所限制,,0
2020-03-21,意大利首家帐篷医院正式启用,意大利,3,1,0,0.5,隔离,医院扩建,,0
2020-03-21,意大利总理宣布全国停止所有非必要生产活动,意大利,3,1,0,0.5,隔离,公共场所限制,,0
2020-03-27,意大利教育部长宣布全国学校4月3日后继续停课,意大利,3,1,0,0.5,隔离,公共场所限制,,0
2020-03-28,意大利总理孔特：意大利的刺激计划将远超500亿欧元,意大利,3,0,1,0.5,经济,财政刺激政策,,0
2020-03-11,印度即将暂停所有入境签证直至4月15日 以遏制国内新冠肺炎疫情传播,印度,3,1,0,0.5,隔离,边境限制,,0
2020-03-17,印度各级检疫机构和站点已经搭建了59587张符合隔离要求的病床,印度,3,1,0,0.5,隔离,医院扩建,,0
2020-03-22,受新冠肺炎疫情影响，印度将关闭全球最繁忙的铁路网络之一,印度,3,1,0,0.5,隔离,出行限制,,0
2020-03-25,印度财长西塔拉曼:宣布总值1.7万亿卢比的政策措施,印度,3,0,1,0.5,经济,财政刺激政策,,0
2020-03-16,印尼政府宣布新冠肺炎为“全国灾难”，首都雅加达停课两周,印度尼西亚,3,1,0,0.5,隔离,政府应急响应,,0
2020-03-19,印尼央行将基准利率（7天期逆回购利率）调降25个基点至4.5%,印度尼西亚,3,0,1,0.5,经济,降准降息,,0
2020-03-11,英国央行紧急降息50个基点,英国,3,0,1,0.5,经济,降准降息,,0
2020-03-11,英国央行召开特别会议并宣布紧急降息50个基点,英国,3,0,1,0.5,经济,降准降息,,0
2020-03-13,英超联赛、英足总、英格兰联赛委员会以及女足超级联赛共同决定推迟进行比赛,英国,3,1,0,0.5,隔离,体育赛事取消或延期,,0
2020-03-18,英国首相约翰逊周三宣布，英国学校本周五开始停课,英国,3,1,0,0.5,隔离,公共场所限制,,0
2020-03-20,英国首相约翰逊周五宣布伦敦封城，要求当地的咖啡厅、酒吧及餐店即日起暂停营业,英国,3,1,0,0.5,隔离,公共场所限制,,0
2020-03-25,英国查尔斯王子新冠肺炎检测呈阳性,英国,3,1,0,0.5,隔离,总统病毒检测,,0
2020-03-25,英国计划暂时关闭议会 至少持续四周,英国,3,1,0,0.5,隔离,政府应急响应,,0
2020-03-26,英国议会因新冠肺炎疫情暂时关闭一个月,英国,3,1,0,0.5,隔离,政府应急响应,,0
2019-12-29,湖北省卫健委疾控处和市卫健委疾控处指示武汉市疾控中心、金银潭医院和江汉区疾控中心开始流行病学调查,中国,2,1,0,0.3,隔离,政府应急响应,,0
2019-12-31,中国疾病预防控制中心派出快速应急小组会同湖北省和武汉市卫生机构进行了流行病学和病原学调查,中国,2,1,0,0.3,隔离,政府应急响应,,0
2019-12-31,中国通知世界卫生组织，中国武汉爆发不明原因肺炎,中国,3,1,0,0.5,隔离,政府应急响应,,0
2020-01-01,对华南海鲜批发市场采取休市措施，并对全市公共场所，特别是农贸市场进一步加强防病指导和环境卫生管理。,中国,1,1,0,0.2,隔离,公共场所限制,,0
2020-01-15,国家疾控中心启动一级应急响应,中国,3,1,0,0.5,隔离,政府应急响应,,0
2020-01-20,钟南山肯定新型肺炎人传人,中国,3,0,1,0.5,隔离,政府应急响应,,0
2020-01-20,习近平对新型冠状病毒感染的肺炎疫情作出重要指示，强调要把人民群众生命安全和身体健康放在第一位，坚决遏制疫情蔓延势头。,中国,3,1,0,0.5,隔离,政府应急响应,,0
2020-01-20,国务院联防联控机制1月20日召开电视电话会议，对新型冠状病毒感染的肺炎疫情防控工作进行全面部署。,中国,3,1,0,0.5,隔离,政府应急响应,,0
2020-01-20,国家卫健委成立新型冠状病毒感染的肺炎应对处置工作领导小组，指导地方做好疫情应对处置工作。湖北省等有关地方进一步落实属地责任，采取切实有效措施，坚决做好疫情防控各项工作。,中国,3,1,0,0.5,隔离,政府应急响应,,0
2020-01-20,李克强作出批示，各相关部门和地方要以对人民群众健康高度负责的态度，完善应对方案，全力以赴做好防控工作，落实早发现、早报告、早隔离、早治疗和集中救治措施。,中国,3,1,0,0.5,隔离,政府应急响应,,0
2020-01-20,国家卫健委发布1号公告：新型冠状病毒肺炎纳入法定传染病管理,中国,3,1,0,0.5,隔离,政府应急响应,,0
2020-01-21,国家卫健委发布1号公告，将新型冠状病毒感染的肺炎纳入乙类传染病，并采取甲类传染病的预防、控制措施。,中国,3,1,0,0.5,隔离,政府应急响应,,0
2020-01-21,武汉市卫健委：武汉实施进出人员管控,中国,1,1,0,0.2,隔离,政府应急响应,,0
2020-01-22,国家医保局：对确诊患者采取特殊报销政策,中国,2,0,1,0.3,经济,社会福利与补贴,,0
2020-01-22,深圳市教育局下发通知，引导师生假期尽量不要前往武汉和疫情严重地区，并要求校外培训机构即日起全面停止春节假期补课,中国,1,1,0,0.2,隔离,公共场所限制,,0
2020-01-23,上午10时起武汉封城,中国,1,1,0,0.2,隔离,边境限制,,0
2020-01-23,国家卫健委发布新版新型肺炎防控方案,中国,3,1,0,0.5,隔离,政府应急响应,,0
2020-01-23,浙江、广东、湖南启动重大突发公共卫生事件一级响应,中国,2,1,0,0.3,隔离,政府应急响应,,0
2020-01-24,交通运输部就做好进出武汉交通运输工具管控全力做好疫情防控工作发布紧急通知。,中国,1,1,0,0.2,隔离,出行限制,,0
2020-01-24,国务院办公厅发布《关于征集新型冠状病毒感染的肺炎疫情防控工作问题线索及意见建议的公告》,中国,3,1,0,0.5,隔离,政府应急响应,,0
2020-01-24,铁路、民航启动免费退票,中国,2,1,0,0.3,隔离,出行限制,,0
2020-01-24,北京、四川、山东、湖北、福建、贵州、广西、安徽、天津、江西、重庆、上海等省市启动重大突发公共卫生事件一级响应。,中国,3,1,0,0.5,隔离,政府应急响应,,0
2020-01-24,湖北省启动突发公共事件二级应急响应,中国,2,1,0,0.3,隔离,政府应急响应,,0
2020-01-25,习近平主持中央政治局常委会会议，研究疫情防控工作,中国,3,1,0,0.5,隔离,政府应急响应,,0
2020-01-25,党中央成立应对疫情工作领导小组，向湖北等疫情严重地区派出指导组，推动有关地方全面加强防控一线工作。,中国,3,1,0,0.5,隔离,政府应急响应,,0
2020-01-25,江苏、河南、黑龙江、甘肃、陕西、陕西、青海、吉林启动重大突发公共卫生事件一级响应。,中国,3,1,0,0.5,隔离,政府应急响应,,0
2020-01-25,交通运输部发布公告，对疫情防治应急物资及医患等人员运输的车辆跨省通行高速公路实行免收通行费政策，并保障优先通行,中国,3,1,0,0.5,隔离,出行限制,,0
2020-01-26,李克强主持召开领导小组会议，进一步部署疫情防控工作。,中国,3,1,0,0.5,隔离,政府应急响应,,0
2020-01-26,市场监管总局、农业农村部、国家林草局决定，自26日起至全国疫情解除期间，禁止野生动物交易活动,中国,3,1,0,0.5,隔离,政府应急响应,,0
2020-01-27,国务院办公厅26日发布关于延长2020年春节假期的通知。,中国,3,1,0,0.5,隔离,公共场所限制,,0
2020-01-27,李克强考察指导疫情防控工作，看望慰问患者和奋战在一线的医护人员。,中国,3,1,0,0.5,隔离,政府应急响应,,0
2020-01-27,习近平作出重要指示，要求各级党组织和广大党员干部团结带领广大人民群众坚决贯彻落实党中央决策部署，紧紧依靠人民群众坚决打赢疫情防控阻击战。,中国,3,1,0,0.5,隔离,政府应急响应,,0
2020-01-27,党中央成立应对疫情工作领导小组，在中央政治局常务委员会领导下开展工作。党中央向湖北等疫情严重地区派出指导组，推动有关地方全面加强防控一线工作,中国,3,1,0,0.5,隔离,政府应急响应,,0
2020-01-27,监管层发布通知，各证券、期货交易所1月31日休市，2月3日期照常开市。A股开市交易时间延迟1天,中国,3,0,1,0.5,经济,休市调整,,0
2020-01-27,国务院办公厅发布关于延长2020年春节假期的通知,中国,3,1,0,0.5,隔离,公共场所限制,,0
2020-01-27,上海、浙江发布延迟企业复工和学校开学的通知,中国,2,1,0,0.3,隔离,公共场所限制,,0
2020-01-27,农业农村部召开会议，讨论加强武汉等地“菜篮子”产品保供和农村疫情防控,中国,1,1,0,0.2,隔离,政府应急响应,,0
2020-01-27,中国疾病预防控制中心发布《2019新型冠状病毒疫情进展和风险评估》,中国,3,1,0,0.5,隔离,政府应急响应,,0
